"","alias","abbr","vote","noOfLgas","lgaCollated","registeredVote","totalVote","slug","updatedAt"
"1","abia","APM",608,17,17,2120808,370037,"d9762ffc-a2bf-40b7-aa86-8b9fef2dc15d","2023-02-28T17:34:24.26665"
"2","abia","APP",672,17,17,2120808,370037,"d9762ffc-a2bf-40b7-aa86-8b9fef2dc15d","2023-02-28T17:34:24.26665"
"3","abia","BP",348,17,17,2120808,370037,"d9762ffc-a2bf-40b7-aa86-8b9fef2dc15d","2023-02-28T17:34:24.26665"
"4","abia","LP",327095,17,17,2120808,370037,"d9762ffc-a2bf-40b7-aa86-8b9fef2dc15d","2023-02-28T17:34:24.26665"
"5","abia","NNPP",1239,17,17,2120808,370037,"d9762ffc-a2bf-40b7-aa86-8b9fef2dc15d","2023-02-28T17:34:24.26665"
"6","abia","SDP",144,17,17,2120808,370037,"d9762ffc-a2bf-40b7-aa86-8b9fef2dc15d","2023-02-28T17:34:24.26665"
"7","abia","YPP",1861,17,17,2120808,370037,"d9762ffc-a2bf-40b7-aa86-8b9fef2dc15d","2023-02-28T17:34:24.26665"
"8","abia","ZLP",1039,17,17,2120808,370037,"d9762ffc-a2bf-40b7-aa86-8b9fef2dc15d","2023-02-28T17:34:24.26665"
"9","abia","APGA",3943,17,17,2120808,370037,"d9762ffc-a2bf-40b7-aa86-8b9fef2dc15d","2023-02-28T17:34:24.26665"
"10","abia","PDP",22676,17,17,2120808,370037,"d9762ffc-a2bf-40b7-aa86-8b9fef2dc15d","2023-02-28T17:34:24.26665"
"11","abia","PRP",97,17,17,2120808,370037,"d9762ffc-a2bf-40b7-aa86-8b9fef2dc15d","2023-02-28T17:34:24.26665"
"12","abia","A",213,17,17,2120808,370037,"d9762ffc-a2bf-40b7-aa86-8b9fef2dc15d","2023-02-28T17:34:24.26665"
"13","abia","AA",109,17,17,2120808,370037,"d9762ffc-a2bf-40b7-aa86-8b9fef2dc15d","2023-02-28T17:34:24.26665"
"14","abia","NRM",138,17,17,2120808,370037,"d9762ffc-a2bf-40b7-aa86-8b9fef2dc15d","2023-02-28T17:34:24.26665"
"15","abia","AAC",179,17,17,2120808,370037,"d9762ffc-a2bf-40b7-aa86-8b9fef2dc15d","2023-02-28T17:34:24.26665"
"16","abia","ADC",522,17,17,2120808,370037,"d9762ffc-a2bf-40b7-aa86-8b9fef2dc15d","2023-02-28T17:34:24.26665"
"17","abia","ADP",240,17,17,2120808,370037,"d9762ffc-a2bf-40b7-aa86-8b9fef2dc15d","2023-02-28T17:34:24.26665"
"18","abia","APC",8914,17,17,2120808,370037,"d9762ffc-a2bf-40b7-aa86-8b9fef2dc15d","2023-02-28T17:34:24.26665"
"19","adamawa","YPP",958,21,21,2196566,731140,"c73d7e72-0b3f-44de-a104-79953c7d26b6","2023-02-27T21:06:09.498004"
"20","adamawa","ADP",1906,21,21,2196566,731140,"c73d7e72-0b3f-44de-a104-79953c7d26b6","2023-02-27T21:06:09.498004"
"21","adamawa","A",654,21,21,2196566,731140,"c73d7e72-0b3f-44de-a104-79953c7d26b6","2023-02-27T21:06:09.498004"
"22","adamawa","AA",536,21,21,2196566,731140,"c73d7e72-0b3f-44de-a104-79953c7d26b6","2023-02-27T21:06:09.498004"
"23","adamawa","AAC",646,21,21,2196566,731140,"c73d7e72-0b3f-44de-a104-79953c7d26b6","2023-02-27T21:06:09.498004"
"24","adamawa","ADC",3398,21,21,2196566,731140,"c73d7e72-0b3f-44de-a104-79953c7d26b6","2023-02-27T21:06:09.498004"
"25","adamawa","ZLP",2257,21,21,2196566,731140,"c73d7e72-0b3f-44de-a104-79953c7d26b6","2023-02-27T21:06:09.498004"
"26","adamawa","APC",182881,21,21,2196566,731140,"c73d7e72-0b3f-44de-a104-79953c7d26b6","2023-02-27T21:06:09.498004"
"27","adamawa","APGA",887,21,21,2196566,731140,"c73d7e72-0b3f-44de-a104-79953c7d26b6","2023-02-27T21:06:09.498004"
"28","adamawa","APM",650,21,21,2196566,731140,"c73d7e72-0b3f-44de-a104-79953c7d26b6","2023-02-27T21:06:09.498004"
